Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Main Purpose","Outputs and Type","Power - Output","Voltage - Output","Current - Output","Voltage - Input","Regulator Topology","Frequency - Switching","Board Type","Supplied Contents","Utilized IC / Part"
http://www.linear.com/docs/35579,-,DC1212A-A-ND,DC1212A-A,Linear Technology/Analog Devices,BOARD DEMO FOR LT3480EDD,3,8,"100.00000","0","1","-","Active","DC/DC, Step Down","1, Non-Isolated","-","5V","2A","6.3V ~ 38V","Buck","800kHz","Fully Populated","Board(s)","LT3480"
-,//media.digikey.com/Photos/Microchip%20Tech%20Photos/ADM00799.JPG,ADM00799-ND,ADM00799,Microchip Technology,MCP19215 DUAL BOOST / SEPIC EVAL,3,0,"100.00000","0","1","-","Active","DC/DC, Step Up","2, Non-Isolated","-","-","-","-","Boost","-","Fully Populated","Board(s)","MCP19215"
https://www.power.com/sites/default/files/PDFFiles/rdr313.pdf,-,596-1612-ND,RDK-313,Power Integrations,EVAL CONVERTER USING LINKSWITCH-,7,0,"101.00000","0","1","LinkSwitch™-HP","Active","AC/DC, Primary Side","1, Isolated","30W","12V","2.5A","90 ~ 265 VAC","Flyback","132kHz","Fully Populated","Board(s)","LNK6766"
https://ac-dc.power.com/sites/default/files/PDFFiles/rdr-641_40watt_constant_power_variable_output_power_supply_using_innoswitch3-pro.pdf,//media.digikey.com/Photos/Power%20Integrations%20Photos/RDK-641.jpg,596-1814-ND,RDK-641,Power Integrations,KIT REF DESIGN INNOSWITCH3-PRO,7,0,"101.00000","0","1","InnoSwitch™3-Pro","Active","AC/DC, Primary and Secondary Side","1, Isolated","-","3V ~ 8V, 8V ~ 20V","5A","85 ~ 265 VAC","Flyback","50Hz ~ 60Hz","Fully Populated","Board(s)","InnoSwitch3-Pro"
https://ac-dc.power.com/sites/default/files/PDFFiles/rdr623.pdf,-,596-1815-ND,RDK-623,Power Integrations,KIT REF DESIGN LINKSWITCH-TN2,5,0,"101.00000","0","1","LinkSwitch®-TN2","Active","AC/DC, Non-Isolated","2, Non-Isolated","-","3.8V, 12V","20mA, 20mA","85 ~ 277 VAC","Flyback","50Hz ~ 60Hz","Fully Populated","Board(s)","LNK3202D"
http://www.linear.com/docs/36571,//media.digikey.com/Photos/Linear%20Tech%20Photos/MFG_DC437A.jpg,DC437A-ND,DC437A,Linear Technology/Analog Devices,BOARD DEMO FOR LT1964ES5,6,47,"101.59000","0","1","-","Active","DC/DC, Step Down","1, Non-Isolated","-","-1.22V, -5V","200mA","-2.3V ~ -20V","Buck","-","Fully Populated","Board(s)","LT1964"
http://www.linear.com/docs/38998,-,DC1089B-ND,DC1089B,Linear Technology/Analog Devices,BOARD DEMO FOR LT3502AEDC,3,134,"101.59000","0","1","-","Active","DC/DC, Step Down","1, Non-Isolated","-","5V","500mA","7V ~ 40V","Buck","2.25MHz","Fully Populated","Board(s)","LT3502A"
http://www.linear.com/docs/35312,-,DC1100A-ND,DC1100A,Linear Technology/Analog Devices,BOARD DEMO FOR LTC3803ES6-3,3,54,"101.59000","0","1","*","Active","DC/DC, Step Down","-","-","3.3V","3A","18V ~ 72V","Flyback","300kHz","Fully Populated","Board(s)","LTC3803"
http://www.linear.com/docs/35576,-,DC1211A-B-ND,DC1211A-B,Linear Technology/Analog Devices,BOARD DEMO FOR LTC3528EDDB,3,74,"101.59000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
http://www.linear.com/docs/37988,-,DC1566A-ND,DC1566A,Linear Technology/Analog Devices,BOARD DEMO FOR LT3970EMS,3,99,"101.59000","0","1","-","Active","DC/DC, Step Down","1, Non-Isolated","-","5V","350mA","6V ~ 40V","Buck","600kHz","Fully Populated","Board(s)","LT3970"
http://www.linear.com/docs/38917,-,DC1576A-ND,DC1576A,Linear Technology/Analog Devices,BOARD DEMO FOR LTC3805IMSE-5,3,80,"101.59000","0","1","-","Active","DC/DC, Step Up or Down","1, Non-Isolated","-","12V","3A","5V ~ 30V","Buck-Boost, SEPIC","300kHz","Fully Populated","Board(s)","LTC3805/-5"
http://www.linear.com/docs/36316,-,DC308A-ND,DC308A,Linear Technology/Analog Devices,BOARD DEMO FOR LTC3401EMS,3,512,"101.59000","0","1","-","Active","DC/DC, Step Up","1, Non-Isolated","-","3.3V, 5V","-","1V ~ 5V","Boost","3MHz","Fully Populated","Board(s)","LTC3401"
http://www.linear.com/docs/36361,-,DC339A-B-ND,DC339A-B,Linear Technology/Analog Devices,BOARD DEMO FOR LT1962EMS8,3,66,"101.59000","0","1","-","Active","DC/DC, Step Down","1, Non-Isolated","-","1.22V ~ 5V","300mA","2.3V ~ 20V","Buck","-","Fully Populated","Board(s)","LT1962"
http://www.linear.com/docs/38480,-,DC383B-ND,DC383B,Linear Technology/Analog Devices,BD DEMO LTC1930ES5/ LTC1931ES5,3,52,"101.59000","0","1","-","Active","DC/DC, Positive and Negative","3, Non-Isolated","-","12V, 12V, -12V","300mA, 300mA, 350mA","5V, 12V, 10V ~ 16V","Boost, Inverting, SEPIC","1.2MHz","Fully Populated","Board(s)","LT1930, LT1931"
