Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Main Purpose","Outputs and Type","Power - Output","Voltage - Output","Current - Output","Voltage - Input","Regulator Topology","Frequency - Switching","Board Type","Supplied Contents","Utilized IC / Part"
http://www.linear.com/docs/35125,//media.digikey.com/Photos/Linear%20Tech%20Photos/DC1031A-B.jpg,DC1031A-B-ND,DC1031A-B,Linear Technology/Analog Devices,BOARD EVAL FOR LTC3725/6,2,48,"250.00000","0","1","-","Active","DC/DC, Step Down","1, Isolated","-","3.3V","20A","36V ~ 72V","Forward Converter","200kHz","Fully Populated","Board(s)","LTC3725, LTC3726"
https://datasheets.maximintegrated.com/en/ds/MAX20734EVKIT.pdf,//media.digikey.com/Photos/Maxim%20Photos/MAX20734EVKIT%23.jpg,MAX20734EVKIT#-ND,MAX20734EVKIT#,Maxim Integrated,EVAL BOARD BUCK REG MAX20734,2,37,"250.00000","0","1","-","Active","DC/DC, Step Down","1, Non-Isolated","-","1V","40A","4.5V ~ 16V","Buck","400kHz","Fully Populated","Board(s)","MAX20734"
http://www.ti.com/lit/pdf/sprugm1,//media.digikey.com/photos/Texas%20Instr%20Photos/TMDSRESDCKIT.jpg,296-31075-ND,TMDSRESDCKIT,Texas Instruments,KIT RESONANT DC/DC DEV C2000,2,0,"252.44000","0","1","-","Obsolete","DC/DC, Step Down","1, Non-Isolated","15W","12V","-","16V ~ 22V","Resonant","-","Fully Populated","Board(s)","TMDSCNCD2808, TMDSCNCD28335, TMDXCNCD28027"
https://www.us.tdk-lambda.com/media/292029/ijx-series-evaluation-kit-manual.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_iJx_eval_board.jpg,285-2671-ND,IJB60A-003-EVKIT-S1,TDK-Lambda Americas Inc.,IJB EVAL BOARD (SINGLE),20,0,"255.00000","0","1","iJB","Last Time Buy","DC/DC Converter","-","-","-","-","-","-","-","Fully Populated","Board(s)","iJB"
https://www.us.tdk-lambda.com/media/292029/ijx-series-evaluation-kit-manual.pdf,//media.digikey.com/Photos/TDK%20Photos/IJC100A-003-EVKIT-S1.jpg,285-2672-ND,IJC100A-003-EVKIT-S1,TDK-Lambda Americas Inc.,IJC EVAL BOARD (SINGLE),10,0,"260.00000","0","1","iJC","Last Time Buy","DC/DC Converter","-","-","-","-","-","-","-","Fully Populated","Board(s)","iJC"
//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/MCU_High_Voltage_Dev%20Kits.pdf,//media.digikey.com/Photos/Texas%20Instr%20Photos/TMDSHVPFCKIT.jpg,296-28539-ND,TMDSHVPFCKIT,Texas Instruments,KIT DEV HV PFC,3,0,"265.14000","0","1","C2000™, Piccolo™","Obsolete","AC/DC, Primary Side and PFC","1, Non-Isolated","300W","390V","-","85 ~ 265 VAC","-","-","Fully Populated","Board(s)","TMS320F28027"
http://www.transphormusa.com/document/tdaio250p200-quick-start-guide/,//media.digikey.com/Photos/Transphorm/MFG_TDAIO250P200-Kit.jpg,TDAIO250P200-KIT-ND,TDAIO250P200-KIT,Transphorm,250W PFC + LLC POWER SUPPLY KIT,3,0,"500.40000","0","1","-","Obsolete","AC/DC, Primary Side and PFC","1, Isolated","250W","12V","20A","90 ~ 265 VAC","-","200kHz","Fully Populated","Board(s)","TPH3202PS"
"//media.digikey.com/pdf/Data%20Sheets/Austriamicrosystems%20PDFs/AS3606,7.pdf",//media.digikey.com/Photos/Austria%20Microsystems/AS3607-DB.jpg,AS3607EVALBOARD-ND,AS3607 EVAL BOARD,ams,BOARD DEMO/USB BOX FOR AS3607,2,0,"617.40000","0","1","-","Active","DC/DC, Step Up or Down with LDO","10, Non-Isolated","-","-","-","2.7V ~ 5.5V","Boost, Buck","-","Fully Populated","Board(s)","AS3607"
//media.digikey.com/pdf/Data%20Sheets/Austriamicrosystems%20PDFs/AS3608.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/AS3608-DB.jpg,AS3608EVALBOARD-ND,AS3608 EVAL BOARD,ams,BOARD DEMO/USB BOX FOR AS3608,2,0,"617.40000","0","1","-","Active","DC/DC, Step Up or Down with LDO","10, Non-Isolated","-","-","-","2.7V ~ 5.5V","Boost, Buck","-","Fully Populated","Board(s)","AS3608"
-,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/AS3658-DB.jpg,AS3658-DB-ND,AS3658-DB,ams,BOARD DEMO/USB BOX/I2S AUD BRD,2,0,"617.40000","0","1","-","Active","DC/DC, Step Up or Down with LDO","13, Non-Isolated","-","-","-","3V ~ 5.5V","Boost, Buck","-","Fully Populated","Board(s)","AS3658"
//media.digikey.com/pdf/Data%20Sheets/NXP%20PDFs/PCA9410(A.pdf,"//media.digikey.com/Photos/NXP%20Semi%20Photos/OM13577,598.jpg",568-12859-ND,"OM13577,598",NXP USA Inc.,EVAL BOARD DC-DC PCA9410A,13,0,"31.25000","0","1","-","Obsolete","DC/DC, Step Up","1, Non-Isolated","-","5V","500mA","2.5V ~ 5.25V","Boost","3MHz","Fully Populated","Board(s)","PCA9410A"
//media.digikey.com/pdf/Data%20Sheets/NXP%20PDFs/PCA9410(A.pdf,"//media.digikey.com/Photos/NXP%20Semi%20Photos/OM13576,598.jpg",568-12858-ND,"OM13576,598",NXP USA Inc.,EVAL BOARD DC-DC PCA9410,6,0,"31.25000","0","1","-","Obsolete","DC/DC, Step Up","1, Non-Isolated","-","5V","500mA","2.5V ~ 5.25V","Boost","3MHz","Fully Populated","Board(s)","PCA9410"
http://www.ti.com/lit/pdf/sluuat3,//media.digikey.com/Photos/Texas%20Instr%20Photos/UCC28180EVM-573.JPG,296-37141-ND,UCC28180EVM-573,Texas Instruments,EVAL BOARD FOR UCC28180,0,3,"154.72000","0","1","-","Active","AC/DC, Primary Side and PFC","1, Non-Isolated","360W","390V","923mA","85 ~ 265 VAC","-","120kHz","Fully Populated","Board(s)","UCC28180"
https://www.xppower.com/Portals/0/pdfs/SF_CA_Series.pdf,//media.digikey.com/Photos/XP%20Power/CM2.jpg,1470-3280-ND,CM2,XP Power,EVALUATION BOARD CA SERIES,0,0,"166.64000","0","1","CA","Active","DC/DC Converter","-","-","-","-","-","-","-","Partially Populated","Board(s)","CA Series"
http://www.linear.com/docs/45806,//media.digikey.com/Photos/Linear%20Tech%20Photos/DC1694B.JPG,DC1694B-ND,DC1694B,Linear Technology/Analog Devices,EVAL BOARD FOR LT3748,0,77,"175.00000","0","1","-","Active","DC/DC Converter","1, Isolated","-","12V","2.5A","22V ~ 75V","Flyback","289kHz","Fully Populated","Board(s)","LT3748"
http://epc-co.com/epc/documents/guides/EPC9118_qsg.pdf,//media.digikey.com/Photos/EPC/MFG_EPC9118.jpg,917-1073-ND,EPC9118,EPC,EVAL BOARD EGAN FET,0,0,"215.63000","0","1","eGaN®","Active","DC/DC, Step Down","1, Non-Isolated","-","5V","20A","30V ~ 60V","Buck","400kHz","Fully Populated","Board(s)","EPC2001, EPC2021"
http://www.linear.com/docs/58580,//media.digikey.com/Photos/Linear%20Tech%20Photos/MFG_DC2317A.JPG,DC2317A-ND,DC2317A,Linear Technology/Analog Devices,LTC7103 DEMO BOARD VIN = 5V TO 1,1,0,"243.75000","0","1","-","Active","DC/DC, Step Down","1, Non-Isolated","-","5V","2.3A","5V ~ 100V","Buck","400kHz","Fully Populated","Board(s)","LTC7103"
http://www.linear.com/docs/58694,//media.digikey.com/photos/Linear%20Tech%20Photos/DC2285A.JPG,DC2285A-ND,DC2285A,Linear Technology/Analog Devices,LT8705AEUHF DEMO BOARD VIN = 36V,0,0,"350.00000","0","1","-","Active","DC/DC, Step Up or Down","1, Non-Isolated","-","48V","20A","36V ~ 75V","Buck-Boost","120kHz","Fully Populated","Board(s)","LT8705A"
http://www.ti.com/lit/pdf/sprabs1,//media.digikey.com/Photos/Texas%20Instr%20Photos/TMDSHVRESLLCKIT.jpg,296-28549-ND,TMDSHVRESLLCKIT,Texas Instruments,KIT DEV HV RESONANT,1,19,"415.36000","0","1","C2000™, Piccolo™","Active","AC/DC, Secondary Side","1, Isolated","500W","12V","-","380V ~ 400V","Resonant","-","Fully Populated","Board(s)","TMS320F28027"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/DFR0568_Web.pdf,-,1738-1439-ND,DFR0568,DFRobot,DC-DC AUTOMATIC STEP UP-DOWN POW,8,0,"3.22000","0","1","-","Active","DC/DC, Step Up or Down","1, Non-Isolated","-","3.3V","600mA","2.5V ~ 15V","Buck-Boost","-","Fully Populated","Board(s)","-"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/DFR0571_Web.pdf,-,1738-1442-ND,DFR0571,DFRobot,DC-DC BUCK-MODE POWER MODULE 8-2,0,0,"3.22000","0","1","-","Active","DC/DC, Step Down","1, Non-Isolated","-","5V","3A","8V ~ 28V","Buck","-","Fully Populated","Board(s)","-"
http://www.ti.com/lit/pdf/slvu211,//media.digikey.com/photos/Texas%20Instr%20Photos/TPS5450EVM-254.JPG,TPS5450EVM-254-ND,TPS5450EVM-254,Texas Instruments,TPS5450EVM-254,7,210,"10.38000","0","1","SWIFT™","Active","DC/DC, Step Down","1, Non-Isolated","-","5V","5A","10V ~ 31V","Buck","500kHz","Fully Populated","Board(s)","TPS5450"
